"PASSENGERS","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","MONTH",
0.00,948.00,"KAQ",20370,"Kalitta Air LLC",11193,"CVG","Cincinnati, OH","KY",13303,"MIA","Miami, FL","FL",4,
0.00,1024.00,"KAQ",20370,"Kalitta Air LLC",11193,"CVG","Cincinnati, OH","KY",14683,"SAT","San Antonio, TX","TX",4,
0.00,569.00,"KAQ",20370,"Kalitta Air LLC",11193,"CVG","Cincinnati, OH","KY",11618,"EWR","Newark, NJ","NJ",4,
0.00,330.00,"KAQ",20370,"Kalitta Air LLC",11193,"CVG","Cincinnati, OH","KY",11995,"GSO","Greensboro/High Point, NC","NC",4,
0.00,1069.00,"KAQ",20370,"Kalitta Air LLC",11193,"CVG","Cincinnati, OH","KY",11292,"DEN","Denver, CO","CO",4,
0.00,1450.00,"KAQ",20370,"Kalitta Air LLC",11193,"CVG","Cincinnati, OH","KY",14869,"SLC","Salt Lake City, UT","UT",4,
0.00,430.00,"KAQ",20370,"Kalitta Air LLC",11193,"CVG","Cincinnati, OH","KY",10821,"BWI","Baltimore, MD","MD",4,
0.00,1965.00,"KAQ",20370,"Kalitta Air LLC",11193,"CVG","Cincinnati, OH","KY",14747,"SEA","Seattle, WA","WA",4,
0.00,4433.00,"KAQ",20370,"Kalitta Air LLC",11193,"CVG","Cincinnati, OH","KY",12173,"HNL","Honolulu, HI","HI",4,
0.00,701.00,"KAQ",20370,"Kalitta Air LLC",11193,"CVG","Cincinnati, OH","KY",13495,"MSY","New Orleans, LA","LA",4,
0.00,812.00,"KAQ",20370,"Kalitta Air LLC",11193,"CVG","Cincinnati, OH","KY",11298,"DFW","Dallas/Fort Worth, TX","TX",4,
0.00,1900.00,"KAQ",20370,"Kalitta Air LLC",11193,"CVG","Cincinnati, OH","KY",12892,"LAX","Los Angeles, CA","CA",4,
0.00,752.00,"KAQ",20370,"Kalitta Air LLC",11193,"CVG","Cincinnati, OH","KY",10721,"BOS","Boston, MA","MA",4,
0.00,2036.00,"KAQ",20370,"Kalitta Air LLC",11193,"CVG","Cincinnati, OH","KY",14771,"SFO","San Francisco, CA","CA",4,
0.00,3110.00,"KAQ",20370,"Kalitta Air LLC",11193,"CVG","Cincinnati, OH","KY",10299,"ANC","Anchorage, AK","AK",4,
0.00,589.00,"KAQ",20370,"Kalitta Air LLC",11193,"CVG","Cincinnati, OH","KY",12478,"JFK","New York, NY","NY",4,
0.00,948.00,"KAQ",20370,"Kalitta Air LLC",13303,"MIA","Miami, FL","FL",11193,"CVG","Cincinnati, OH","KY",4,
0.00,4004.00,"KAQ",20370,"Kalitta Air LLC",13303,"MIA","Miami, FL","FL",10299,"ANC","Anchorage, AK","AK",4,
0.00,264.00,"KAQ",20370,"Kalitta Air LLC",13930,"ORD","Chicago, IL","IL",11193,"CVG","Cincinnati, OH","KY",4,
0.00,2846.00,"KAQ",20370,"Kalitta Air LLC",13930,"ORD","Chicago, IL","IL",10299,"ANC","Anchorage, AK","AK",4,
0.00,488.00,"KAQ",20370,"Kalitta Air LLC",13947,"OSC","Oscoda, MI","MI",12264,"IAD","Washington, DC","VA",4,
0.00,247.00,"KAQ",20370,"Kalitta Air LLC",14683,"SAT","San Antonio, TX","TX",11298,"DFW","Dallas/Fort Worth, TX","TX",4,
0.00,569.00,"KAQ",20370,"Kalitta Air LLC",11618,"EWR","Newark, NJ","NJ",11193,"CVG","Cincinnati, OH","KY",4,
0.00,330.00,"KAQ",20370,"Kalitta Air LLC",11995,"GSO","Greensboro/High Point, NC","NC",11193,"CVG","Cincinnati, OH","KY",4,
0.00,175.00,"KAQ",20370,"Kalitta Air LLC",11995,"GSO","Greensboro/High Point, NC","NC",14524,"RIC","Richmond, VA","VA",4,
0.00,1069.00,"KAQ",20370,"Kalitta Air LLC",11292,"DEN","Denver, CO","CO",11193,"CVG","Cincinnati, OH","KY",4,
0.00,862.00,"KAQ",20370,"Kalitta Air LLC",11292,"DEN","Denver, CO","CO",12892,"LAX","Los Angeles, CA","CA",4,
0.00,599.00,"KAQ",20370,"Kalitta Air LLC",14869,"SLC","Salt Lake City, UT","UT",14771,"SFO","San Francisco, CA","CA",4,
0.00,430.00,"KAQ",20370,"Kalitta Air LLC",10821,"BWI","Baltimore, MD","MD",11193,"CVG","Cincinnati, OH","KY",4,
0.00,679.00,"KAQ",20370,"Kalitta Air LLC",14747,"SEA","Seattle, WA","WA",14771,"SFO","San Francisco, CA","CA",4,
0.00,2556.00,"KAQ",20370,"Kalitta Air LLC",12173,"HNL","Honolulu, HI","HI",12892,"LAX","Los Angeles, CA","CA",4,
0.00,163.00,"KAQ",20370,"Kalitta Air LLC",12173,"HNL","Honolulu, HI","HI",12758,"KOA","Kona, HI","HI",4,
0.00,812.00,"KAQ",20370,"Kalitta Air LLC",11298,"DFW","Dallas/Fort Worth, TX","TX",11193,"CVG","Cincinnati, OH","KY",4,
0.00,247.00,"KAQ",20370,"Kalitta Air LLC",11298,"DFW","Dallas/Fort Worth, TX","TX",14683,"SAT","San Antonio, TX","TX",4,
0.00,230.00,"KAQ",20370,"Kalitta Air LLC",10693,"BNA","Nashville, TN","TN",11193,"CVG","Cincinnati, OH","KY",4,
0.00,373.00,"KAQ",20370,"Kalitta Air LLC",10397,"ATL","Atlanta, GA","GA",11193,"CVG","Cincinnati, OH","KY",4,
0.00,1900.00,"KAQ",20370,"Kalitta Air LLC",12892,"LAX","Los Angeles, CA","CA",11193,"CVG","Cincinnati, OH","KY",4,
0.00,2342.00,"KAQ",20370,"Kalitta Air LLC",12892,"LAX","Los Angeles, CA","CA",13303,"MIA","Miami, FL","FL",4,
0.00,1744.00,"KAQ",20370,"Kalitta Air LLC",12892,"LAX","Los Angeles, CA","CA",13930,"ORD","Chicago, IL","IL",4,
0.00,2556.00,"KAQ",20370,"Kalitta Air LLC",12892,"LAX","Los Angeles, CA","CA",12173,"HNL","Honolulu, HI","HI",4,
0.00,337.00,"KAQ",20370,"Kalitta Air LLC",12892,"LAX","Los Angeles, CA","CA",14771,"SFO","San Francisco, CA","CA",4,
0.00,2345.00,"KAQ",20370,"Kalitta Air LLC",12892,"LAX","Los Angeles, CA","CA",10299,"ANC","Anchorage, AK","AK",4,
0.00,2455.00,"KAQ",20370,"Kalitta Air LLC",12892,"LAX","Los Angeles, CA","CA",15070,"SWF","Newburgh/Poughkeepsie, NY","NY",4,
0.00,2218.00,"KAQ",20370,"Kalitta Air LLC",12892,"LAX","Los Angeles, CA","CA",13204,"MCO","Orlando, FL","FL",4,
0.00,752.00,"KAQ",20370,"Kalitta Air LLC",10721,"BOS","Boston, MA","MA",11193,"CVG","Cincinnati, OH","KY",4,
0.00,2036.00,"KAQ",20370,"Kalitta Air LLC",14771,"SFO","San Francisco, CA","CA",11193,"CVG","Cincinnati, OH","KY",4,
0.00,337.00,"KAQ",20370,"Kalitta Air LLC",14771,"SFO","San Francisco, CA","CA",12892,"LAX","Los Angeles, CA","CA",4,
0.00,3110.00,"KAQ",20370,"Kalitta Air LLC",10299,"ANC","Anchorage, AK","AK",11193,"CVG","Cincinnati, OH","KY",4,
0.00,2846.00,"KAQ",20370,"Kalitta Air LLC",10299,"ANC","Anchorage, AK","AK",13930,"ORD","Chicago, IL","IL",4,
0.00,2345.00,"KAQ",20370,"Kalitta Air LLC",10299,"ANC","Anchorage, AK","AK",12892,"LAX","Los Angeles, CA","CA",4,
0.00,3127.00,"KAQ",20370,"Kalitta Air LLC",10299,"ANC","Anchorage, AK","AK",12917,"LCK","Columbus, OH","OH",4,
0.00,3386.00,"KAQ",20370,"Kalitta Air LLC",10299,"ANC","Anchorage, AK","AK",12478,"JFK","New York, NY","NY",4,
0.00,2504.00,"KAQ",20370,"Kalitta Air LLC",12758,"KOA","Kona, HI","HI",12892,"LAX","Los Angeles, CA","CA",4,
0.00,3127.00,"KAQ",20370,"Kalitta Air LLC",12917,"LCK","Columbus, OH","OH",10299,"ANC","Anchorage, AK","AK",4,
0.00,2455.00,"KAQ",20370,"Kalitta Air LLC",15070,"SWF","Newburgh/Poughkeepsie, NY","NY",12892,"LAX","Los Angeles, CA","CA",4,
0.00,589.00,"KAQ",20370,"Kalitta Air LLC",12478,"JFK","New York, NY","NY",11193,"CVG","Cincinnati, OH","KY",4,
0.00,3386.00,"KAQ",20370,"Kalitta Air LLC",12478,"JFK","New York, NY","NY",10299,"ANC","Anchorage, AK","AK",4,
0.00,2218.00,"KAQ",20370,"Kalitta Air LLC",13204,"MCO","Orlando, FL","FL",12892,"LAX","Los Angeles, CA","CA",4,
