"PASSENGERS","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","MONTH",
0.00,1058.00,"U7",20447,"USA Jet Airlines Inc.",14492,"RDU","Raleigh/Durham, NC","NC",13851,"OKC","Oklahoma City, OK","OK",8,
0.00,65.00,"U7",20447,"USA Jet Airlines Inc.",12884,"LAN","Lansing, MI","MI",16091,"YIP","Detroit, MI","MI",8,
0.00,254.00,"U7",20447,"USA Jet Airlines Inc.",12945,"LEX","Lexington, KY","KY",11996,"GSP","Greer, SC","SC",8,
0.00,296.00,"U7",20447,"USA Jet Airlines Inc.",12945,"LEX","Lexington, KY","KY",16091,"YIP","Detroit, MI","MI",8,
0.00,749.00,"U7",20447,"USA Jet Airlines Inc.",15370,"TUL","Tulsa, OK","OK",15295,"TOL","Toledo, OH","OH",8,
0.00,1090.00,"U7",20447,"USA Jet Airlines Inc.",11697,"FLL","Fort Lauderdale, FL","FL",15295,"TOL","Toledo, OH","OH",8,
0.00,1264.00,"U7",20447,"USA Jet Airlines Inc.",14107,"PHX","Phoenix, AZ","AZ",13244,"MEM","Memphis, TN","TN",8,
0.00,697.00,"U7",20447,"USA Jet Airlines Inc.",15167,"TEB","Teterboro, NJ","NJ",12055,"GYY","Gary, IN","IN",8,
0.00,736.00,"U7",20447,"USA Jet Airlines Inc.",15381,"TVF","Thief River Falls, MN","MN",16091,"YIP","Detroit, MI","MI",8,
0.00,1041.00,"U7",20447,"USA Jet Airlines Inc.",15381,"TVF","Thief River Falls, MN","MN",11282,"DCU","Decatur, AL","AL",8,
0.00,634.00,"U7",20447,"USA Jet Airlines Inc.",14275,"PTK","Pontiac, MI","MI",13198,"MCI","Kansas City, MO","MO",8,
0.00,987.00,"U7",20447,"USA Jet Airlines Inc.",10194,"AFW","Dallas/Fort Worth, TX","TX",16091,"YIP","Detroit, MI","MI",8,
0.00,542.00,"U7",20447,"USA Jet Airlines Inc.",13198,"MCI","Kansas City, MO","MO",14457,"RAP","Rapid City, SD","SD",8,
0.00,834.00,"U7",20447,"USA Jet Airlines Inc.",13198,"MCI","Kansas City, MO","MO",11540,"ELP","El Paso, TX","TX",8,
0.00,620.00,"U7",20447,"USA Jet Airlines Inc.",13198,"MCI","Kansas City, MO","MO",16091,"YIP","Detroit, MI","MI",8,
0.00,703.00,"U7",20447,"USA Jet Airlines Inc.",13277,"MGM","Montgomery, AL","AL",16091,"YIP","Detroit, MI","MI",8,
0.00,123.00,"U7",20447,"USA Jet Airlines Inc.",11823,"FWA","Fort Wayne, IN","IN",16091,"YIP","Detroit, MI","MI",8,
0.00,1175.00,"U7",20447,"USA Jet Airlines Inc.",10868,"CAE","Columbia, SC","SC",13061,"LRD","Laredo, TX","TX",8,
0.00,818.00,"U7",20447,"USA Jet Airlines Inc.",11612,"EVV","Evansville, IN","IN",15381,"TVF","Thief River Falls, MN","MN",8,
0.00,306.00,"U7",20447,"USA Jet Airlines Inc.",14730,"SDF","Louisville, KY","KY",11433,"DTW","Detroit, MI","MI",8,
0.00,304.00,"U7",20447,"USA Jet Airlines Inc.",14730,"SDF","Louisville, KY","KY",16091,"YIP","Detroit, MI","MI",8,
0.00,415.00,"U7",20447,"USA Jet Airlines Inc.",14730,"SDF","Louisville, KY","KY",14492,"RDU","Raleigh/Durham, NC","NC",8,
0.00,485.00,"U7",20447,"USA Jet Airlines Inc.",14730,"SDF","Louisville, KY","KY",10994,"CHS","Charleston, SC","SC",8,
0.00,803.00,"U7",20447,"USA Jet Airlines Inc.",10994,"CHS","Charleston, SC","SC",14814,"SHV","Shreveport, LA","LA",8,
0.00,551.00,"U7",20447,"USA Jet Airlines Inc.",10994,"CHS","Charleston, SC","SC",11612,"EVV","Evansville, IN","IN",8,
0.00,485.00,"U7",20447,"USA Jet Airlines Inc.",10994,"CHS","Charleston, SC","SC",14730,"SDF","Louisville, KY","KY",8,
0.00,459.00,"U7",20447,"USA Jet Airlines Inc.",13461,"MQY","Smyrna, TN","TN",16091,"YIP","Detroit, MI","MI",8,
0.00,647.00,"U7",20447,"USA Jet Airlines Inc.",13461,"MQY","Smyrna, TN","TN",12598,"JZT","Arlington, TX","TX",8,
0.00,760.00,"U7",20447,"USA Jet Airlines Inc.",11308,"DHN","Dothan, AL","AL",16091,"YIP","Detroit, MI","MI",8,
0.00,0.00,"U7",20447,"USA Jet Airlines Inc.",11308,"DHN","Dothan, AL","AL",11308,"DHN","Dothan, AL","AL",8,
0.00,655.00,"U7",20447,"USA Jet Airlines Inc.",12992,"LIT","Little Rock, AR","AR",13061,"LRD","Laredo, TX","TX",8,
0.00,1140.00,"U7",20447,"USA Jet Airlines Inc.",13851,"OKC","Oklahoma City, OK","OK",13891,"ONT","Ontario, CA","CA",8,
