"PASSENGERS","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","MONTH",
0.00,62.00,"1SQ",21570,"Star Marianas Air Inc.",15215,"TIQ","Tinian, TT","TT",14582,"ROP","Rota, TT","TT",2,
0.00,56.00,"1SQ",21570,"Star Marianas Air Inc.",12016,"GUM","Guam, TT","TT",14582,"ROP","Rota, TT","TT",2,
0.00,73.00,"1SQ",21570,"Star Marianas Air Inc.",14582,"ROP","Rota, TT","TT",14955,"SPN","Saipan, TT","TT",2,
0.00,56.00,"1SQ",21570,"Star Marianas Air Inc.",14582,"ROP","Rota, TT","TT",12016,"GUM","Guam, TT","TT",2,
0.00,62.00,"1SQ",21570,"Star Marianas Air Inc.",15215,"TIQ","Tinian, TT","TT",14582,"ROP","Rota, TT","TT",2,
0.00,56.00,"1SQ",21570,"Star Marianas Air Inc.",12016,"GUM","Guam, TT","TT",14582,"ROP","Rota, TT","TT",2,
0.00,118.00,"1SQ",21570,"Star Marianas Air Inc.",12016,"GUM","Guam, TT","TT",15215,"TIQ","Tinian, TT","TT",2,
0.00,73.00,"1SQ",21570,"Star Marianas Air Inc.",14955,"SPN","Saipan, TT","TT",14582,"ROP","Rota, TT","TT",2,
0.00,129.00,"1SQ",21570,"Star Marianas Air Inc.",14955,"SPN","Saipan, TT","TT",12016,"GUM","Guam, TT","TT",2,
0.00,3801.00,"5X",19917,"United Parcel Service",12173,"HNL","Honolulu, HI","HI",12016,"GUM","Guam, TT","TT",2,
0.00,378.00,"5X",19917,"United Parcel Service",11042,"CLE","Cleveland, OH","OH",14512,"RFD","Rockford, IL","IL",2,
0.00,363.00,"5X",19917,"United Parcel Service",11042,"CLE","Cleveland, OH","OH",14100,"PHL","Philadelphia, PA","PA",2,
0.00,304.00,"5X",19917,"United Parcel Service",11042,"CLE","Cleveland, OH","OH",14730,"SDF","Louisville, KY","KY",2,
0.00,633.00,"5X",19917,"United Parcel Service",14635,"RSW","Fort Myers, FL","FL",12217,"HSV","Huntsville, AL","AL",2,
