"PASSENGERS","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","MONTH",
0.00,62.00,"YX",20452,"Republic Airline",14027,"PBI","West Palm Beach/Palm Beach, FL","FL",13303,"MIA","Miami, FL","FL",1,
0.00,123.00,"YX",20452,"Republic Airline",10721,"BOS","Boston, MA","MA",12244,"HVN","New Haven, CT","CT",1,
0.00,3801.00,"5X",19917,"United Parcel Service",12173,"HNL","Honolulu, HI","HI",12016,"GUM","Guam, TT","TT",1,
0.00,4586.00,"5X",19917,"United Parcel Service",12016,"GUM","Guam, TT","TT",10299,"ANC","Anchorage, AK","AK",1,
0.00,363.00,"5X",19917,"United Parcel Service",11042,"CLE","Cleveland, OH","OH",14100,"PHL","Philadelphia, PA","PA",1,
0.00,304.00,"5X",19917,"United Parcel Service",11042,"CLE","Cleveland, OH","OH",14730,"SDF","Louisville, KY","KY",1,
0.00,835.00,"5X",19917,"United Parcel Service",14635,"RSW","Fort Myers, FL","FL",14730,"SDF","Louisville, KY","KY",1,
0.00,633.00,"5X",19917,"United Parcel Service",14635,"RSW","Fort Myers, FL","FL",12217,"HSV","Huntsville, AL","AL",1,
0.00,103.00,"5X",19917,"United Parcel Service",14635,"RSW","Fort Myers, FL","FL",14027,"PBI","West Palm Beach/Palm Beach, FL","FL",1,
0.00,295.00,"5X",19917,"United Parcel Service",11433,"DTW","Detroit, MI","MI",14512,"RFD","Rockford, IL","IL",1,
0.00,453.00,"5X",19917,"United Parcel Service",11433,"DTW","Detroit, MI","MI",14100,"PHL","Philadelphia, PA","PA",1,
0.00,306.00,"5X",19917,"United Parcel Service",11433,"DTW","Detroit, MI","MI",14730,"SDF","Louisville, KY","KY",1,
0.00,133.00,"5X",19917,"United Parcel Service",10792,"BUF","Buffalo, NY","NY",15096,"SYR","Syracuse, NY","NY",1,
0.00,279.00,"5X",19917,"United Parcel Service",10792,"BUF","Buffalo, NY","NY",14100,"PHL","Philadelphia, PA","PA",1,
0.00,494.00,"5X",19917,"United Parcel Service",10792,"BUF","Buffalo, NY","NY",14730,"SDF","Louisville, KY","KY",1,
0.00,204.00,"5X",19917,"United Parcel Service",13303,"MIA","Miami, FL","FL",15304,"TPA","Tampa, FL","FL",1,
0.00,1013.00,"5X",19917,"United Parcel Service",13303,"MIA","Miami, FL","FL",14100,"PHL","Philadelphia, PA","PA",1,
0.00,1121.00,"5X",19917,"United Parcel Service",13303,"MIA","Miami, FL","FL",11298,"DFW","Dallas/Fort Worth, TX","TX",1,
0.00,21.00,"5X",19917,"United Parcel Service",13303,"MIA","Miami, FL","FL",11697,"FLL","Fort Lauderdale, FL","FL",1,
0.00,910.00,"5X",19917,"United Parcel Service",13303,"MIA","Miami, FL","FL",14730,"SDF","Louisville, KY","KY",1,
0.00,62.00,"5X",19917,"United Parcel Service",13303,"MIA","Miami, FL","FL",14027,"PBI","West Palm Beach/Palm Beach, FL","FL",1,
0.00,678.00,"5X",19917,"United Parcel Service",13930,"ORD","Chicago, IL","IL",14100,"PHL","Philadelphia, PA","PA",1,
0.00,801.00,"5X",19917,"United Parcel Service",13930,"ORD","Chicago, IL","IL",11298,"DFW","Dallas/Fort Worth, TX","TX",1,
0.00,286.00,"5X",19917,"United Parcel Service",13930,"ORD","Chicago, IL","IL",14730,"SDF","Louisville, KY","KY",1,
0.00,247.00,"5X",19917,"United Parcel Service",15016,"STL","St. Louis, MO","MO",14512,"RFD","Rockford, IL","IL",1,
0.00,392.00,"5X",19917,"United Parcel Service",15016,"STL","St. Louis, MO","MO",12278,"ICT","Wichita, KS","KS",1,
0.00,254.00,"5X",19917,"United Parcel Service",15016,"STL","St. Louis, MO","MO",14730,"SDF","Louisville, KY","KY",1,
0.00,1383.00,"5X",19917,"United Parcel Service",10713,"BOI","Boise, ID","ID",15016,"STL","St. Louis, MO","MO",1,
0.00,290.00,"5X",19917,"United Parcel Service",10713,"BOI","Boise, ID","ID",14869,"SLC","Salt Lake City, UT","UT",1,
0.00,1630.00,"5X",19917,"United Parcel Service",10713,"BOI","Boise, ID","ID",14730,"SDF","Louisville, KY","KY",1,
0.00,232.00,"5X",19917,"United Parcel Service",14683,"SAT","San Antonio, TX","TX",13256,"MFE","Mission/McAllen/Edinburg, TX","TX",1,
0.00,150.00,"5X",19917,"United Parcel Service",14683,"SAT","San Antonio, TX","TX",13061,"LRD","Laredo, TX","TX",1,
0.00,247.00,"5X",19917,"United Parcel Service",14683,"SAT","San Antonio, TX","TX",11298,"DFW","Dallas/Fort Worth, TX","TX",1,
0.00,942.00,"5X",19917,"United Parcel Service",14683,"SAT","San Antonio, TX","TX",14730,"SDF","Louisville, KY","KY",1,
0.00,1860.00,"5X",19917,"United Parcel Service",11638,"FAT","Fresno, CA","CA",14730,"SDF","Louisville, KY","KY",1,
0.00,191.00,"5X",19917,"United Parcel Service",12266,"IAH","Houston, TX","TX",14683,"SAT","San Antonio, TX","TX",1,
0.00,224.00,"5X",19917,"United Parcel Service",12266,"IAH","Houston, TX","TX",11298,"DFW","Dallas/Fort Worth, TX","TX",1,
0.00,788.00,"5X",19917,"United Parcel Service",12266,"IAH","Houston, TX","TX",14730,"SDF","Louisville, KY","KY",1,
0.00,473.00,"5X",19917,"United Parcel Service",12448,"JAN","Jackson/Vicksburg, MS","MS",14730,"SDF","Louisville, KY","KY",1,
0.00,184.00,"5X",19917,"United Parcel Service",12448,"JAN","Jackson/Vicksburg, MS","MS",12951,"LFT","Lafayette, LA","LA",1,
0.00,1102.00,"5X",19917,"United Parcel Service",13256,"MFE","Mission/McAllen/Edinburg, TX","TX",14730,"SDF","Louisville, KY","KY",1,
0.00,690.00,"5X",19917,"United Parcel Service",13256,"MFE","Mission/McAllen/Edinburg, TX","TX",12992,"LIT","Little Rock, AR","AR",1,
0.00,2409.00,"5X",19917,"United Parcel Service",11618,"EWR","Newark, NJ","NJ",13891,"ONT","Ontario, CA","CA",1,
