"PASSENGERS","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","MONTH",
0.00,1808.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10466,"AZA","Phoenix, AZ","AZ",11995,"GSO","Greensboro/High Point, NC","NC",7,
0.00,92.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10466,"AZA","Phoenix, AZ","AZ",15376,"TUS","Tucson, AZ","AZ",7,
0.00,596.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13487,"MSP","Minneapolis, MN","MN",11193,"CVG","Cincinnati, OH","KY",7,
0.00,874.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11884,"GEG","Spokane, WA","WA",10590,"IFP","Bullhead City, AZ","AZ",7,
0.00,938.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10590,"IFP","Bullhead City, AZ","AZ",14747,"SEA","Seattle, WA","WA",7,
0.00,420.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10590,"IFP","Bullhead City, AZ","AZ",13476,"MRY","Monterey, CA","CA",7,
0.00,601.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14570,"RNO","Reno, NV","NV",14107,"PHX","Phoenix, AZ","AZ",7,
0.00,938.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14747,"SEA","Seattle, WA","WA",10590,"IFP","Bullhead City, AZ","AZ",7,
0.00,348.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14842,"SJT","San Angelo, TX","TX",11540,"ELP","El Paso, TX","TX",7,
0.00,290.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12896,"LBB","Lubbock, TX","TX",10140,"ABQ","Albuquerque, NM","NM",7,
0.00,151.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13158,"MAF","Midland/Odessa, TX","TX",10136,"ABI","Abilene, TX","TX",7,
0.00,44.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11719,"FNL","Fort Collins/Loveland, CO","CO",11292,"DEN","Denver, CO","CO",7,
0.00,349.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10140,"ABQ","Albuquerque, NM","NM",11292,"DEN","Denver, CO","CO",7,
0.00,574.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10158,"ACY","Atlantic City, NJ","NJ",15412,"TYS","Knoxville, TN","TN",7,
0.00,922.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10158,"ACY","Atlantic City, NJ","NJ",14112,"PIE","St. Petersburg, FL","FL",7,
0.00,201.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10158,"ACY","Atlantic City, NJ","NJ",14524,"RIC","Richmond, VA","VA",7,
0.00,308.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12898,"LBE","Latrobe, PA","PA",15323,"TRI","Bristol/Johnson City/Kingsport, TN","TN",7,
0.00,198.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13931,"ORF","Norfolk, VA","VA",10158,"ACY","Atlantic City, NJ","NJ",7,
0.00,783.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14512,"RFD","Rockford, IL","IL",10158,"ACY","Atlantic City, NJ","NJ",7,
0.00,338.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14492,"RDU","Raleigh/Durham, NC","NC",10158,"ACY","Atlantic City, NJ","NJ",7,
0.00,206.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14574,"ROA","Roanoke, VA","VA",12898,"LBE","Latrobe, PA","PA",7,
0.00,163.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14122,"PIT","Pittsburgh, PA","PA",11146,"CRW","Charleston/Dunbar, WV","WV",7,
0.00,275.00,"09Q",21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12884,"LAN","Lansing, MI","MI",14122,"PIT","Pittsburgh, PA","PA",7,
