id	label	lon	lat
1	Detroit, MI	-83.0457538	42.331427
2	Chicago, IL	-87.6297982	41.8781136
3	Houston, TX	-95.3698028	29.7604267
4	Reno, NV	-119.8138027	39.5296329
5	Stillwater, OK	-97.0583681	36.1156071
6	Santa Barbara, CA	-119.6981901	34.4208305
7	Oakland, CA	-122.2711639	37.8043514
8	Brownsville, TX	-97.4974838	25.9017472
9	Hawthorne, CA	-118.3525748	33.9164032
10	Palo Alto, CA	-122.1430195	37.4418834
11	San Jose, CA	-121.8863286	37.3382082
12	Silver City/Hurley, NM	-108.1319872	32.6992442
13	St. Louis, MO	-90.19940419999999	38.6270025
14	Palm Springs, CA	-116.5452921	33.8302961
15	Minneapolis, MN	-93.2650108	44.977753
16	New York, NY	-74.0059728	40.7127753
17	Southampton, NY	-72.3895296	40.884267
18	Dallas, TX	-96.79698789999999	32.7766642
19	Waukegan, IL	-87.84479379999999	42.3636331
20	Philadelphia, PA	-75.1652215	39.9525839
21	New Haven, CT	-72.9278835	41.308274
22	Los Angeles, CA	-118.2436849	34.0522342
23	Teterboro, NJ	-74.0593075	40.8598219
24	Atlanta, GA	-84.3879824	33.7489954
25	Aspen, CO	-106.8175387	39.1910983
26	Miami, FL	-80.1917902	25.7616798
27	Portland, OR	-122.6750261	45.5051064
28	Austin, TX	-97.7430608	30.267153
29	Eastsound, WA	-122.9061068	48.696654
30	Rochester, NY	-77.6088465	43.15657789999999
31	Cleveland, OH	-81.6943605	41.49932
32	Fort Myers, FL	-81.8723084	26.640628
33	Cincinnati, OH	-84.5120196	39.1031182
34	Buffalo, NY	-78.8783689	42.88644679999999
35	Corpus Christi, TX	-97.39638099999999	27.8005828
36	El Paso, TX	-106.4850217	31.7618778
37	Sacramento, CA	-121.4943996	38.5815719
38	Tampa, FL	-82.4571776	27.950575
39	Jacksonville, FL	-81.65565099999999	30.3321838
40	Greer, SC	-82.2270568	34.9387279
41	Seattle, WA	-122.3320708	47.6062095
42	Lubbock, TX	-101.8551665	33.5778631
43	Midland/Odessa, TX	-102.2522487	31.9391746
44	Milwaukee, WI	-87.9064736	43.0389025
45	Albuquerque, NM	-106.650422	35.0843859
46	Charlotte, NC	-80.8431267	35.2270869
47	Norfolk, VA	-76.28587259999999	36.8507689
48	Birmingham, AL	-86.8103567	33.5185892
49	Raleigh/Durham, NC	-78.86364019999999	35.8991678
50	Providence, RI	-71.4128343	41.8239891
51	New Orleans, LA	-90.0715323	29.95106579999999
52	Pittsburgh, PA	-79.9958864	40.44062479999999
53	Hartford, CT	-72.6733723	41.7658043
54	Columbus, OH	-82.99879419999999	39.9611755
55	Charlottesville, VA	-78.47667810000002	38.0293059
56	Syracuse, NY	-76.14742439999999	43.0481221
57	Huntingburg, IN	-86.9549971	38.2989422
58	Wiscasset, ME	-69.665583	44.0028921
59	Naples, FL	-81.7948103	26.1420358
60	White Plains, NY	-73.7629097	41.03398620000001
61	Boston, MA	-71.0588801	42.3600825
62	Trenton, NJ	-74.759717	40.2205824
63	Wilmington, DE	-75.5483909	39.744655
64	Nashville, TN	-86.7816016	36.1626638
65	Destin, FL	-86.4957833	30.3935337
66	Louisville, KY	-85.7584557	38.2526647
67	Smyrna, TN	-86.5186045	35.9828412
68	Tulsa, OK	-95.99277500000001	36.1539816
69	Fort Lauderdale, FL	-80.13731740000001	26.1224386
