"PASSENGERS","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","MONTH",
0.00,1231.00,"YX",20452,"Republic Airline",12953,"LGA","New York, NY","NY",15370,"TUL","Tulsa, OK","OK",12,
0.00,304.00,"YX",20452,"Republic Airline",12992,"LIT","Little Rock, AR","AR",11298,"DFW","Dallas/Fort Worth, TX","TX",12,
0.00,451.00,"YX",20452,"Republic Airline",13198,"MCI","Kansas City, MO","MO",12339,"IND","Indianapolis, IN","IN",12,
0.00,119.00,"YX",20452,"Republic Airline",13256,"MFE","Mission/McAllen/Edinburg, TX","TX",11140,"CRP","Corpus Christi, TX","TX",12,
0.00,209.00,"YX",20452,"Republic Airline",13296,"MHT","Manchester, NH","NH",11618,"EWR","Newark, NJ","NJ",12,
0.00,806.00,"YX",20452,"Republic Airline",13303,"MIA","Miami, FL","FL",10693,"BNA","Nashville, TN","TN",12,
0.00,393.00,"YX",20452,"Republic Airline",13487,"MSP","Minneapolis, MN","MN",13198,"MCI","Kansas City, MO","MO",12,
0.00,425.00,"YX",20452,"Republic Airline",13495,"MSY","New Orleans, LA","LA",10397,"ATL","Atlanta, GA","GA",12,
0.00,175.00,"YX",20452,"Republic Airline",13851,"OKC","Oklahoma City, OK","OK",11298,"DFW","Dallas/Fort Worth, TX","TX",12,
0.00,207.00,"YX",20452,"Republic Airline",13930,"ORD","Chicago, IL","IL",10683,"BMG","Bloomington, IN","IN",12,
0.00,1197.00,"YX",20452,"Republic Airline",13930,"ORD","Chicago, IL","IL",13303,"MIA","Miami, FL","FL",12,
0.00,142.00,"YX",20452,"Republic Airline",13931,"ORF","Norfolk, VA","VA",11278,"DCA","Washington, DC","VA",12,
0.00,1157.00,"YX",20452,"Republic Airline",14100,"PHL","Philadelphia, PA","PA",12951,"LFT","Lafayette, LA","LA",12,
0.00,1210.00,"YX",20452,"Republic Airline",14122,"PIT","Pittsburgh, PA","PA",10423,"AUS","Austin, TX","TX",12,
0.00,452.00,"YX",20452,"Republic Airline",14321,"PWM","Portland, ME","ME",10821,"BWI","Baltimore, MD","MD",12,
0.00,356.00,"YX",20452,"Republic Airline",14492,"RDU","Raleigh/Durham, NC","NC",10397,"ATL","Atlanta, GA","GA",12,
0.00,532.00,"YX",20452,"Republic Airline",14492,"RDU","Raleigh/Durham, NC","NC",10529,"BDL","Hartford, CT","CT",12,
0.00,30.00,"YX",20452,"Republic Airline",14685,"SAV","Savannah, GA","GA",12124,"HHH","Hilton Head, SC","SC",12,
0.00,531.00,"YX",20452,"Republic Airline",14730,"SDF","Louisville, KY","KY",13931,"ORF","Norfolk, VA","VA",12,
0.00,942.00,"YX",20452,"Republic Airline",14730,"SDF","Louisville, KY","KY",14683,"SAT","San Antonio, TX","TX",12,
0.00,192.00,"YX",20452,"Republic Airline",14814,"SHV","Shreveport, LA","LA",12266,"IAH","Houston, TX","TX",12,
0.00,1240.00,"YX",20452,"Republic Airline",14986,"SRQ","Sarasota/Bradenton, FL","FL",13296,"MHT","Manchester, NH","NH",12,
0.00,476.00,"YX",20452,"Republic Airline",15016,"STL","St. Louis, MO","MO",14814,"SHV","Shreveport, LA","LA",12,
0.00,88.00,"YX",20452,"Republic Airline",15370,"TUL","Tulsa, OK","OK",15919,"XNA","Fayetteville, AR","AR",12,
0.00,588.00,"YX",20452,"Republic Airline",15412,"TYS","Knoxville, TN","TN",10434,"AVP","Scranton/Wilkes-Barre, PA","PA",12,
0.00,123.00,"YX",20452,"Republic Airline",10721,"BOS","Boston, MA","MA",12244,"HVN","New Haven, CT","CT",12,
0.00,222.00,"YX",20452,"Republic Airline",10785,"BTV","Burlington, VT","VT",12244,"HVN","New Haven, CT","CT",12,
0.00,216.00,"KH",21634,"Aloha Air Cargo",12173,"HNL","Honolulu, HI","HI",12402,"ITO","Hilo, HI","HI",12,
0.00,163.00,"KH",21634,"Aloha Air Cargo",12173,"HNL","Honolulu, HI","HI",12758,"KOA","Kona, HI","HI",12,
0.00,102.00,"KH",21634,"Aloha Air Cargo",12173,"HNL","Honolulu, HI","HI",12982,"LIH","Lihue, HI","HI",12,
0.00,100.00,"KH",21634,"Aloha Air Cargo",12173,"HNL","Honolulu, HI","HI",13830,"OGG","Kahului, HI","HI",12,
0.00,216.00,"KH",21634,"Aloha Air Cargo",12402,"ITO","Hilo, HI","HI",12173,"HNL","Honolulu, HI","HI",12,
0.00,65.00,"KH",21634,"Aloha Air Cargo",12402,"ITO","Hilo, HI","HI",12758,"KOA","Kona, HI","HI",12,
0.00,121.00,"KH",21634,"Aloha Air Cargo",12402,"ITO","Hilo, HI","HI",13830,"OGG","Kahului, HI","HI",12,
0.00,163.00,"KH",21634,"Aloha Air Cargo",12758,"KOA","Kona, HI","HI",12173,"HNL","Honolulu, HI","HI",12,
0.00,65.00,"KH",21634,"Aloha Air Cargo",12758,"KOA","Kona, HI","HI",12402,"ITO","Hilo, HI","HI",12,
0.00,263.00,"KH",21634,"Aloha Air Cargo",12758,"KOA","Kona, HI","HI",12982,"LIH","Lihue, HI","HI",12,
0.00,84.00,"KH",21634,"Aloha Air Cargo",12758,"KOA","Kona, HI","HI",13830,"OGG","Kahului, HI","HI",12,
0.00,102.00,"KH",21634,"Aloha Air Cargo",12982,"LIH","Lihue, HI","HI",12173,"HNL","Honolulu, HI","HI",12,
0.00,201.00,"KH",21634,"Aloha Air Cargo",12982,"LIH","Lihue, HI","HI",13830,"OGG","Kahului, HI","HI",12,
0.00,100.00,"KH",21634,"Aloha Air Cargo",13830,"OGG","Kahului, HI","HI",12173,"HNL","Honolulu, HI","HI",12,
0.00,121.00,"KH",21634,"Aloha Air Cargo",13830,"OGG","Kahului, HI","HI",12402,"ITO","Hilo, HI","HI",12,
0.00,84.00,"KH",21634,"Aloha Air Cargo",13830,"OGG","Kahului, HI","HI",12758,"KOA","Kona, HI","HI",12,
0.00,1631.00,"WL",20310,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",11540,"ELP","El Paso, TX","TX",13303,"MIA","Miami, FL","FL",12,
0.00,1631.00,"WL",20310,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",13303,"MIA","Miami, FL","FL",11540,"ELP","El Paso, TX","TX",12,
0.00,1089.00,"WL",20310,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",13303,"MIA","Miami, FL","FL",12478,"JFK","New York, NY","NY",12,
0.00,402.00,"WL",20310,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",13303,"MIA","Miami, FL","FL",15249,"TLH","Tallahassee, FL","FL",12,
0.00,395.00,"8V",20333,"Wright Air Service",11630,"FAI","Fairbanks, AK","AK",12676,"KGX","Grayling, AK","AK",12,
0.00,127.00,"8V",20333,"Wright Air Service",11630,"FAI","Fairbanks, AK","AK",15124,"TAL","Tanana, AK","AK",12,
0.00,338.00,"8V",20333,"Wright Air Service",11630,"FAI","Fairbanks, AK","AK",15599,"VIK","Kavik River, AK","AK",12,
0.00,97.00,"V8",20346,"Iliamna Air Taxi",10245,"AKN","King Salmon, AK","AK",12321,"ILI","Iliamna, AK","AK",12,
0.00,348.00,"V8",20346,"Iliamna Air Taxi",10299,"ANC","Anchorage, AK","AK",10313,"ANV","Anvik, AK","AK",12,
0.00,195.00,"V8",20346,"Iliamna Air Taxi",10299,"ANC","Anchorage, AK","AK",12321,"ILI","Iliamna, AK","AK",12,
0.00,348.00,"V8",20346,"Iliamna Air Taxi",10313,"ANV","Anvik, AK","AK",10299,"ANC","Anchorage, AK","AK",12,
0.00,348.00,"V8",20346,"Iliamna Air Taxi",10313,"ANV","Anvik, AK","AK",10299,"ANC","Anchorage, AK","AK",12,
0.00,235.00,"V8",20346,"Iliamna Air Taxi",12087,"HCR","Holy Cross, AK","AK",12321,"ILI","Iliamna, AK","AK",12,
0.00,195.00,"V8",20346,"Iliamna Air Taxi",12321,"ILI","Iliamna, AK","AK",10299,"ANC","Anchorage, AK","AK",12,
0.00,195.00,"V8",20346,"Iliamna Air Taxi",12321,"ILI","Iliamna, AK","AK",10299,"ANC","Anchorage, AK","AK",12,
0.00,140.00,"V8",20346,"Iliamna Air Taxi",12321,"ILI","Iliamna, AK","AK",11511,"EGX","Egegik, AK","AK",12,
0.00,46.00,"V8",20346,"Iliamna Air Taxi",12321,"ILI","Iliamna, AK","AK",12294,"IGG","Igiugig, AK","AK",12,
0.00,23.00,"V8",20346,"Iliamna Air Taxi",12321,"ILI","Iliamna, AK","AK",12748,"KNK","Kokhanok, AK","AK",12,
0.00,16.00,"V8",20346,"Iliamna Air Taxi",12321,"ILI","Iliamna, AK","AK",13715,"NNL","Nondalton, AK","AK",12,
0.00,28.00,"V8",20346,"Iliamna Air Taxi",12321,"ILI","Iliamna, AK","AK",14046,"PDB","Pedro Bay, AK","AK",12,
0.00,37.00,"V8",20346,"Iliamna Air Taxi",12321,"ILI","Iliamna, AK","AK",14268,"PTA","Port Alsworth, AK","AK",12,
0.00,37.00,"V8",20346,"Iliamna Air Taxi",12321,"ILI","Iliamna, AK","AK",14268,"PTA","Port Alsworth, AK","AK",12,
0.00,37.00,"V8",20346,"Iliamna Air Taxi",12321,"ILI","Iliamna, AK","AK",14268,"PTA","Port Alsworth, AK","AK",12,
0.00,345.00,"V8",20346,"Iliamna Air Taxi",12719,"KLG","Kalskag, AK","AK",10299,"ANC","Anchorage, AK","AK",12,
0.00,222.00,"V8",20346,"Iliamna Air Taxi",12719,"KLG","Kalskag, AK","AK",12321,"ILI","Iliamna, AK","AK",12,
0.00,92.00,"V8",20346,"Iliamna Air Taxi",12720,"KLL","Levelock, AK","AK",13715,"NNL","Nondalton, AK","AK",12,
0.00,23.00,"V8",20346,"Iliamna Air Taxi",12748,"KNK","Kokhanok, AK","AK",12321,"ILI","Iliamna, AK","AK",12,
0.00,23.00,"V8",20346,"Iliamna Air Taxi",12748,"KNK","Kokhanok, AK","AK",12321,"ILI","Iliamna, AK","AK",12,
0.00,24.00,"V8",20346,"Iliamna Air Taxi",13715,"NNL","Nondalton, AK","AK",14268,"PTA","Port Alsworth, AK","AK",12,
0.00,24.00,"V8",20346,"Iliamna Air Taxi",13715,"NNL","Nondalton, AK","AK",14268,"PTA","Port Alsworth, AK","AK",12,
0.00,34.00,"V8",20346,"Iliamna Air Taxi",14046,"PDB","Pedro Bay, AK","AK",12748,"KNK","Kokhanok, AK","AK",12,
0.00,37.00,"V8",20346,"Iliamna Air Taxi",14268,"PTA","Port Alsworth, AK","AK",12321,"ILI","Iliamna, AK","AK",12,
