"PASSENGERS","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","MONTH",
0.00,2846.00,"WI",20195,"Sky Lease Cargo",13930,"ORD","Chicago, IL","IL",10299,"ANC","Anchorage, AK","AK",6,
0.00,2846.00,"WI",20195,"Sky Lease Cargo",10299,"ANC","Anchorage, AK","AK",13930,"ORD","Chicago, IL","IL",6,
0.00,4004.00,"WI",20195,"Sky Lease Cargo",13303,"MIA","Miami, FL","FL",10299,"ANC","Anchorage, AK","AK",6,
0.00,1197.00,"WI",20195,"Sky Lease Cargo",13930,"ORD","Chicago, IL","IL",13303,"MIA","Miami, FL","FL",6,
0.00,2342.00,"WI",20195,"Sky Lease Cargo",12892,"LAX","Los Angeles, CA","CA",13303,"MIA","Miami, FL","FL",6,
0.00,2345.00,"WI",20195,"Sky Lease Cargo",12892,"LAX","Los Angeles, CA","CA",10299,"ANC","Anchorage, AK","AK",6,
0.00,2345.00,"WI",20195,"Sky Lease Cargo",10299,"ANC","Anchorage, AK","AK",12892,"LAX","Los Angeles, CA","CA",6,
0.00,3386.00,"WI",20195,"Sky Lease Cargo",10299,"ANC","Anchorage, AK","AK",12478,"JFK","New York, NY","NY",6,
0.00,14.00,"2O",20443,"Island Air Service",15091,"SYB","Seal Bay, AK","AK",12705,"KKB","Kitoi Bay, AK","AK",6,
0.00,26.00,"2O",20443,"Island Air Service",12785,"KPY","Port Bailey, AK","AK",10056,"A43","Kodiak Island, AK","AK",6,
0.00,9.00,"2O",20443,"Island Air Service",12854,"KWP","West Point, AK","AK",15446,"UGI","Uganik, AK","AK",6,
0.00,22.00,"2O",20443,"Island Air Service",12854,"KWP","West Point, AK","AK",12785,"KPY","Port Bailey, AK","AK",6,
0.00,57.00,"2O",20443,"Island Air Service",10324,"AOS","Amook Bay, AK","AK",10056,"A43","Kodiak Island, AK","AK",6,
0.00,18.00,"2O",20443,"Island Air Service",12771,"KOY","Olga Bay, AK","AK",10278,"ALZ","Lazy Bay, AK","AK",6,
0.00,39.00,"2O",20443,"Island Air Service",10243,"AKK","Akhiok, AK","AK",13863,"OLH","Old Harbor, AK","AK",6,
0.00,42.00,"2O",20443,"Island Air Service",10243,"AKK","Akhiok, AK","AK",12721,"KLN","Larsen Bay, AK","AK",6,
0.00,46.00,"2O",20443,"Island Air Service",10056,"A43","Kodiak Island, AK","AK",12782,"KPR","Port Williams, AK","AK",6,
0.00,28.00,"2O",20443,"Island Air Service",12705,"KKB","Kitoi Bay, AK","AK",10056,"A43","Kodiak Island, AK","AK",6,
0.00,13.00,"2O",20443,"Island Air Service",12782,"KPR","Port Williams, AK","AK",15091,"SYB","Seal Bay, AK","AK",6,
0.00,39.00,"2O",20443,"Island Air Service",13863,"OLH","Old Harbor, AK","AK",10243,"AKK","Akhiok, AK","AK",6,
