"PASSENGERS","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","MONTH",
0.00,2052.00,"WN",19393,"Southwest Airlines Co.",11042,"CLE","Cleveland, OH","OH",12892,"LAX","Los Angeles, CA","CA",3,
0.00,2157.00,"WN",19393,"Southwest Airlines Co.",10792,"BUF","Buffalo, NY","NY",14057,"PDX","Portland, OR","OR",3,
0.00,1900.00,"WN",19393,"Southwest Airlines Co.",13891,"ONT","Ontario, CA","CA",10397,"ATL","Atlanta, GA","GA",3,
0.00,1288.00,"WN",19393,"Southwest Airlines Co.",11540,"ELP","El Paso, TX","TX",14057,"PDX","Portland, OR","OR",3,
0.00,2067.00,"WN",19393,"Southwest Airlines Co.",11540,"ELP","El Paso, TX","TX",10721,"BOS","Boston, MA","MA",3,
0.00,1964.00,"WN",19393,"Southwest Airlines Co.",14679,"SAN","San Diego, CA","CA",11066,"CMH","Columbus, OH","OH",3,
0.00,2283.00,"WN",19393,"Southwest Airlines Co.",10821,"BWI","Baltimore, MD","MD",13891,"ONT","Ontario, CA","CA",3,
0.00,0.00,"WN",19393,"Southwest Airlines Co.",14570,"RNO","Reno, NV","NV",14570,"RNO","Reno, NV","NV",3,
0.00,2327.00,"WN",19393,"Southwest Airlines Co.",14057,"PDX","Portland, OR","OR",12264,"IAD","Washington, DC","VA",3,
0.00,330.00,"WN",19393,"Southwest Airlines Co.",13342,"MKE","Milwaukee, WI","WI",11066,"CMH","Columbus, OH","OH",3,
0.00,613.00,"WN",19393,"Southwest Airlines Co.",13342,"MKE","Milwaukee, WI","WI",12992,"LIT","Little Rock, AR","AR",3,
0.00,2296.00,"WN",19393,"Southwest Airlines Co.",11057,"CLT","Charlotte, NC","NC",14771,"SFO","San Francisco, CA","CA",3,
0.00,0.00,"WN",19393,"Southwest Airlines Co.",12339,"IND","Indianapolis, IN","IN",12339,"IND","Indianapolis, IN","IN",3,
0.00,337.00,"WN",19393,"Southwest Airlines Co.",14492,"RDU","Raleigh/Durham, NC","NC",14100,"PHL","Philadelphia, PA","PA",3,
0.00,363.00,"WN",19393,"Southwest Airlines Co.",14100,"PHL","Philadelphia, PA","PA",11042,"CLE","Cleveland, OH","OH",3,
0.00,1927.00,"WN",19393,"Southwest Airlines Co.",14100,"PHL","Philadelphia, PA","PA",14869,"SLC","Salt Lake City, UT","UT",3,
0.00,772.00,"WN",19393,"Southwest Airlines Co.",14100,"PHL","Philadelphia, PA","PA",10599,"BHM","Birmingham, AL","AL",3,
0.00,1684.00,"WN",19393,"Southwest Airlines Co.",12953,"LGA","New York, NY","NY",13158,"MAF","Midland/Odessa, TX","TX",3,
0.00,195.00,"WN",19393,"Southwest Airlines Co.",12953,"LGA","New York, NY","NY",13296,"MHT","Manchester, NH","NH",3,
0.00,1426.00,"WN",19393,"Southwest Airlines Co.",11697,"FLL","Fort Lauderdale, FL","FL",10279,"AMA","Amarillo, TX","TX",3,
0.00,1764.00,"WN",19393,"Southwest Airlines Co.",10721,"BOS","Boston, MA","MA",14683,"SAT","San Antonio, TX","TX",3,
0.00,1124.00,"WN",19393,"Southwest Airlines Co.",10721,"BOS","Boston, MA","MA",13487,"MSP","Minneapolis, MN","MN",3,
0.00,2496.00,"WN",19393,"Southwest Airlines Co.",10721,"BOS","Boston, MA","MA",14747,"SEA","Seattle, WA","WA",3,
0.00,1554.00,"WN",19393,"Southwest Airlines Co.",10721,"BOS","Boston, MA","MA",11259,"DAL","Dallas, TX","TX",3,
0.00,2036.00,"WN",19393,"Southwest Airlines Co.",14771,"SFO","San Francisco, CA","CA",11193,"CVG","Cincinnati, OH","KY",3,
0.00,1482.00,"WN",19393,"Southwest Airlines Co.",14771,"SFO","San Francisco, CA","CA",14683,"SAT","San Antonio, TX","TX",3,
0.00,733.00,"WN",19393,"Southwest Airlines Co.",14771,"SFO","San Francisco, CA","CA",11884,"GEG","Spokane, WA","WA",3,
0.00,550.00,"WN",19393,"Southwest Airlines Co.",14771,"SFO","San Francisco, CA","CA",14057,"PDX","Portland, OR","OR",3,
0.00,1499.00,"WN",19393,"Southwest Airlines Co.",14771,"SFO","San Francisco, CA","CA",13198,"MCI","Kansas City, MO","MO",3,
0.00,2127.00,"WN",19393,"Southwest Airlines Co.",14908,"SNA","Santa Ana, CA","CA",15304,"TPA","Tampa, FL","FL",3,
0.00,304.00,"WN",19393,"Southwest Airlines Co.",14730,"SDF","Louisville, KY","KY",11042,"CLE","Cleveland, OH","OH",3,
0.00,1488.00,"WN",19393,"Southwest Airlines Co.",12992,"LIT","Little Rock, AR","AR",10800,"BUR","Burbank, CA","CA",3,
0.00,1482.00,"WN",19393,"Southwest Airlines Co.",14524,"RIC","Richmond, VA","VA",11292,"DEN","Denver, CO","CO",3,
0.00,3411.00,"N8",20405,"National Air Cargo Group Inc d/ba National Airlines",10397,"ATL","Atlanta, GA","GA",11487,"EDF","Anchorage, AK","AK",3,
0.00,925.00,"N8",20405,"National Air Cargo Group Inc d/ba National Airlines",13930,"ORD","Chicago, IL","IL",12266,"IAH","Houston, TX","TX",3,
0.00,2846.00,"N8",20405,"National Air Cargo Group Inc d/ba National Airlines",13930,"ORD","Chicago, IL","IL",10299,"ANC","Anchorage, AK","AK",3,
0.00,3417.00,"N8",20405,"National Air Cargo Group Inc d/ba National Airlines",10299,"ANC","Anchorage, AK","AK",10397,"ATL","Atlanta, GA","GA",3,
0.00,3386.00,"N8",20405,"National Air Cargo Group Inc d/ba National Airlines",12478,"JFK","New York, NY","NY",10299,"ANC","Anchorage, AK","AK",3,
0.00,2846.00,"N8",20405,"National Air Cargo Group Inc d/ba National Airlines",13930,"ORD","Chicago, IL","IL",10299,"ANC","Anchorage, AK","AK",3,
0.00,606.00,"N8",20405,"National Air Cargo Group Inc d/ba National Airlines",10397,"ATL","Atlanta, GA","GA",13930,"ORD","Chicago, IL","IL",3,
0.00,689.00,"N8",20405,"National Air Cargo Group Inc d/ba National Airlines",10397,"ATL","Atlanta, GA","GA",12266,"IAH","Houston, TX","TX",3,
0.00,3417.00,"N8",20405,"National Air Cargo Group Inc d/ba National Airlines",10397,"ATL","Atlanta, GA","GA",10299,"ANC","Anchorage, AK","AK",3,
0.00,2345.00,"N8",20405,"National Air Cargo Group Inc d/ba National Airlines",12892,"LAX","Los Angeles, CA","CA",10299,"ANC","Anchorage, AK","AK",3,
0.00,2846.00,"N8",20405,"National Air Cargo Group Inc d/ba National Airlines",10299,"ANC","Anchorage, AK","AK",13930,"ORD","Chicago, IL","IL",3,
0.00,2345.00,"N8",20405,"National Air Cargo Group Inc d/ba National Airlines",10299,"ANC","Anchorage, AK","AK",12892,"LAX","Los Angeles, CA","CA",3,
0.00,191.00,"9K",20253,"Cape Air",10154,"ACK","Nantucket, MA","MA",12197,"HPN","White Plains, NY","NY",3,
0.00,191.00,"9K",20253,"Cape Air",12197,"HPN","White Plains, NY","NY",10154,"ACK","Nantucket, MA","MA",3,
0.00,183.00,"9K",20253,"Cape Air",12197,"HPN","White Plains, NY","NY",12250,"HYA","Hyannis, MA","MA",3,
0.00,163.00,"9K",20253,"Cape Air",12197,"HPN","White Plains, NY","NY",13541,"MVY","Martha's Vineyard, MA","MA",3,
0.00,194.00,"9K",20253,"Cape Air",12197,"HPN","White Plains, NY","NY",14306,"PVC","Provincetown, MA","MA",3,
0.00,183.00,"9K",20253,"Cape Air",12250,"HYA","Hyannis, MA","MA",12197,"HPN","White Plains, NY","NY",3,
0.00,26.00,"9K",20253,"Cape Air",12250,"HYA","Hyannis, MA","MA",13541,"MVY","Martha's Vineyard, MA","MA",3,
0.00,199.00,"9K",20253,"Cape Air",12478,"JFK","New York, NY","NY",10154,"ACK","Nantucket, MA","MA",3,
0.00,163.00,"9K",20253,"Cape Air",13541,"MVY","Martha's Vineyard, MA","MA",12197,"HPN","White Plains, NY","NY",3,
0.00,26.00,"9K",20253,"Cape Air",13541,"MVY","Martha's Vineyard, MA","MA",12250,"HYA","Hyannis, MA","MA",3,
0.00,194.00,"9K",20253,"Cape Air",14306,"PVC","Provincetown, MA","MA",12197,"HPN","White Plains, NY","NY",3,
0.00,31.00,"9K",20253,"Cape Air",10154,"ACK","Nantucket, MA","MA",12250,"HYA","Hyannis, MA","MA",3,
0.00,31.00,"9K",20253,"Cape Air",12250,"HYA","Hyannis, MA","MA",10154,"ACK","Nantucket, MA","MA",3,
0.00,47.00,"K3",20383,"Venture Travel LLC d/b/a Taquan Air Service",12252,"HYG","Hydaburg, AK","AK",15741,"WFB","Ketchikan, AK","AK",3,
0.00,39.00,"K3",20383,"Venture Travel LLC d/b/a Taquan Air Service",12253,"HYL","Hollis, AK","AK",15741,"WFB","Ketchikan, AK","AK",3,
0.00,68.00,"K3",20383,"Venture Travel LLC d/b/a Taquan Air Service",12633,"KCC","Coffman Cove, AK","AK",15741,"WFB","Ketchikan, AK","AK",3,
0.00,102.00,"K3",20383,"Venture Travel LLC d/b/a Taquan Air Service",12773,"KPB","Point Baker, AK","AK",15741,"WFB","Ketchikan, AK","AK",3,
0.00,71.00,"K3",20383,"Venture Travel LLC d/b/a Taquan Air Service",13693,"NKI","Naukiti, AK","AK",15741,"WFB","Ketchikan, AK","AK",3,
0.00,101.00,"K3",20383,"Venture Travel LLC d/b/a Taquan Air Service",14229,"PPV","Port Protection, AK","AK",15741,"WFB","Ketchikan, AK","AK",3,
0.00,47.00,"K3",20383,"Venture Travel LLC d/b/a Taquan Air Service",15741,"WFB","Ketchikan, AK","AK",12252,"HYG","Hydaburg, AK","AK",3,
0.00,71.00,"K3",20383,"Venture Travel LLC d/b/a Taquan Air Service",15741,"WFB","Ketchikan, AK","AK",13693,"NKI","Naukiti, AK","AK",3,
0.00,62.00,"1SQ",21570,"Star Marianas Air Inc.",14582,"ROP","Rota, TT","TT",15215,"TIQ","Tinian, TT","TT",3,
0.00,118.00,"1SQ",21570,"Star Marianas Air Inc.",12016,"GUM","Guam, TT","TT",15215,"TIQ","Tinian, TT","TT",3,
0.00,73.00,"1SQ",21570,"Star Marianas Air Inc.",14582,"ROP","Rota, TT","TT",14955,"SPN","Saipan, TT","TT",3,
0.00,56.00,"1SQ",21570,"Star Marianas Air Inc.",14582,"ROP","Rota, TT","TT",12016,"GUM","Guam, TT","TT",3,
0.00,56.00,"1SQ",21570,"Star Marianas Air Inc.",12016,"GUM","Guam, TT","TT",14582,"ROP","Rota, TT","TT",3,
0.00,129.00,"1SQ",21570,"Star Marianas Air Inc.",12016,"GUM","Guam, TT","TT",14955,"SPN","Saipan, TT","TT",3,
0.00,129.00,"1SQ",21570,"Star Marianas Air Inc.",14955,"SPN","Saipan, TT","TT",12016,"GUM","Guam, TT","TT",3,
0.00,909.00,"AS",19930,"Alaska Airlines Inc.",14747,"SEA","Seattle, WA","WA",12523,"JNU","Juneau, AK","AK",3,
0.00,680.00,"AS",19930,"Alaska Airlines Inc.",14747,"SEA","Seattle, WA","WA",12819,"KTN","Ketchikan, AK","AK",3,
0.00,787.00,"AS",19930,"Alaska Airlines Inc.",14747,"SEA","Seattle, WA","WA",14256,"PSG","Petersburg, AK","AK",3,
0.00,861.00,"AS",19930,"Alaska Airlines Inc.",14747,"SEA","Seattle, WA","WA",14828,"SIT","Sitka, AK","AK",3,
0.00,756.00,"AS",19930,"Alaska Airlines Inc.",14747,"SEA","Seattle, WA","WA",15841,"WRG","Wrangell, AK","AK",3,
0.00,1448.00,"AS",19930,"Alaska Airlines Inc.",14747,"SEA","Seattle, WA","WA",10299,"ANC","Anchorage, AK","AK",3,
0.00,1293.00,"AS",19930,"Alaska Airlines Inc.",10926,"CDV","Cordova, AK","AK",14747,"SEA","Seattle, WA","WA",3,
0.00,411.00,"AS",19930,"Alaska Airlines Inc.",10926,"CDV","Cordova, AK","AK",12523,"JNU","Juneau, AK","AK",3,
0.00,680.00,"AS",19930,"Alaska Airlines Inc.",12819,"KTN","Ketchikan, AK","AK",14747,"SEA","Seattle, WA","WA",3,
0.00,234.00,"AS",19930,"Alaska Airlines Inc.",12819,"KTN","Ketchikan, AK","AK",12523,"JNU","Juneau, AK","AK",3,
0.00,111.00,"AS",19930,"Alaska Airlines Inc.",12819,"KTN","Ketchikan, AK","AK",14256,"PSG","Petersburg, AK","AK",3,
0.00,183.00,"AS",19930,"Alaska Airlines Inc.",12819,"KTN","Ketchikan, AK","AK",14828,"SIT","Sitka, AK","AK",3,
0.00,775.00,"AS",19930,"Alaska Airlines Inc.",12819,"KTN","Ketchikan, AK","AK",10299,"ANC","Anchorage, AK","AK",3,
0.00,787.00,"AS",19930,"Alaska Airlines Inc.",14256,"PSG","Petersburg, AK","AK",14747,"SEA","Seattle, WA","WA",3,
0.00,1192.00,"AS",19930,"Alaska Airlines Inc.",10165,"ADK","Adak Island, AK","AK",10299,"ANC","Anchorage, AK","AK",3,
0.00,756.00,"AS",19930,"Alaska Airlines Inc.",15841,"WRG","Wrangell, AK","AK",14747,"SEA","Seattle, WA","WA",3,
0.00,1439.00,"AS",19930,"Alaska Airlines Inc.",10170,"ADQ","Kodiak, AK","AK",14747,"SEA","Seattle, WA","WA",3,
