"PASSENGERS","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","MONTH",
0.00,189.00,"Q5",20342,"40-Mile Air",15236,"TKJ","Tok, AK","AK",12141,"HKB","Healy, AK","AK",5,
0.00,189.00,"Q5",20342,"40-Mile Air",12141,"HKB","Healy, AK","AK",15236,"TKJ","Tok, AK","AK",5,
0.00,156.00,"9K",20253,"Cape Air",13930,"ORD","Chicago, IL","IL",11288,"DEC","Decatur, IL","IL",5,
0.00,110.00,"9K",20253,"Cape Air",15016,"STL","St. Louis, MO","MO",11288,"DEC","Decatur, IL","IL",5,
0.00,163.00,"9K",20253,"Cape Air",13541,"MVY","Martha's Vineyard, MA","MA",12197,"HPN","White Plains, NY","NY",5,
0.00,26.00,"9K",20253,"Cape Air",13541,"MVY","Martha's Vineyard, MA","MA",12250,"HYA","Hyannis, MA","MA",5,
0.00,54.00,"9K",20253,"Cape Air",15626,"VQS","Vieques, PR","PR",15027,"STX","Christiansted, VI","VI",5,
0.00,194.00,"9K",20253,"Cape Air",14306,"PVC","Provincetown, MA","MA",12197,"HPN","White Plains, NY","NY",5,
0.00,191.00,"9K",20253,"Cape Air",12197,"HPN","White Plains, NY","NY",10154,"ACK","Nantucket, MA","MA",5,
0.00,191.00,"9K",20253,"Cape Air",12197,"HPN","White Plains, NY","NY",12932,"LEB","Lebanon-Hanover, NH","NH",5,
0.00,194.00,"9K",20253,"Cape Air",12197,"HPN","White Plains, NY","NY",14306,"PVC","Provincetown, MA","MA",5,
0.00,183.00,"9K",20253,"Cape Air",12197,"HPN","White Plains, NY","NY",12250,"HYA","Hyannis, MA","MA",5,
0.00,163.00,"9K",20253,"Cape Air",12197,"HPN","White Plains, NY","NY",13541,"MVY","Martha's Vineyard, MA","MA",5,
