"PASSENGERS","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","MONTH",
0.00,1013.00,"5X",19917,"United Parcel Service",13303,"MIA","Miami, FL","FL",14100,"PHL","Philadelphia, PA","PA",11,
0.00,1121.00,"5X",19917,"United Parcel Service",13303,"MIA","Miami, FL","FL",11298,"DFW","Dallas/Fort Worth, TX","TX",11,
0.00,21.00,"5X",19917,"United Parcel Service",13303,"MIA","Miami, FL","FL",11697,"FLL","Fort Lauderdale, FL","FL",11,
0.00,910.00,"5X",19917,"United Parcel Service",13303,"MIA","Miami, FL","FL",14730,"SDF","Louisville, KY","KY",11,
0.00,192.00,"5X",19917,"United Parcel Service",13303,"MIA","Miami, FL","FL",13204,"MCO","Orlando, FL","FL",11,
0.00,62.00,"5X",19917,"United Parcel Service",13303,"MIA","Miami, FL","FL",14027,"PBI","West Palm Beach/Palm Beach, FL","FL",11,
0.00,678.00,"5X",19917,"United Parcel Service",13930,"ORD","Chicago, IL","IL",14100,"PHL","Philadelphia, PA","PA",11,
0.00,286.00,"5X",19917,"United Parcel Service",13930,"ORD","Chicago, IL","IL",14730,"SDF","Louisville, KY","KY",11,
0.00,1546.00,"5X",19917,"United Parcel Service",15016,"STL","St. Louis, MO","MO",13891,"ONT","Ontario, CA","CA",11,
0.00,770.00,"5X",19917,"United Parcel Service",15016,"STL","St. Louis, MO","MO",11292,"DEN","Denver, CO","CO",11,
0.00,247.00,"5X",19917,"United Parcel Service",15016,"STL","St. Louis, MO","MO",14512,"RFD","Rockford, IL","IL",11,
0.00,392.00,"5X",19917,"United Parcel Service",15016,"STL","St. Louis, MO","MO",12278,"ICT","Wichita, KS","KS",11,
0.00,254.00,"5X",19917,"United Parcel Service",15016,"STL","St. Louis, MO","MO",14730,"SDF","Louisville, KY","KY",11,
0.00,660.00,"5X",19917,"United Parcel Service",10713,"BOI","Boise, ID","ID",13891,"ONT","Ontario, CA","CA",11,
0.00,649.00,"5X",19917,"United Parcel Service",10713,"BOI","Boise, ID","ID",11292,"DEN","Denver, CO","CO",11,
0.00,290.00,"5X",19917,"United Parcel Service",10713,"BOI","Boise, ID","ID",14869,"SLC","Salt Lake City, UT","UT",11,
0.00,344.00,"5X",19917,"United Parcel Service",10713,"BOI","Boise, ID","ID",14057,"PDX","Portland, OR","OR",11,
0.00,409.00,"5X",19917,"United Parcel Service",10713,"BOI","Boise, ID","ID",10620,"BIL","Billings, MT","MT",11,
0.00,1630.00,"5X",19917,"United Parcel Service",10713,"BOI","Boise, ID","ID",14730,"SDF","Louisville, KY","KY",11,
0.00,150.00,"5X",19917,"United Parcel Service",14683,"SAT","San Antonio, TX","TX",13061,"LRD","Laredo, TX","TX",11,
0.00,625.00,"5X",19917,"United Parcel Service",14683,"SAT","San Antonio, TX","TX",13244,"MEM","Memphis, TN","TN",11,
0.00,247.00,"5X",19917,"United Parcel Service",14683,"SAT","San Antonio, TX","TX",11298,"DFW","Dallas/Fort Worth, TX","TX",11,
0.00,843.00,"5X",19917,"United Parcel Service",14683,"SAT","San Antonio, TX","TX",14107,"PHX","Phoenix, AZ","AZ",11,
0.00,66.00,"5X",19917,"United Parcel Service",14683,"SAT","San Antonio, TX","TX",10423,"AUS","Austin, TX","TX",11,
0.00,942.00,"5X",19917,"United Parcel Service",14683,"SAT","San Antonio, TX","TX",14730,"SDF","Louisville, KY","KY",11,
0.00,188.00,"5X",19917,"United Parcel Service",11638,"FAT","Fresno, CA","CA",14570,"RNO","Reno, NV","NV",11,
0.00,1669.00,"5X",19917,"United Parcel Service",11638,"FAT","Fresno, CA","CA",14512,"RFD","Rockford, IL","IL",11,
0.00,232.00,"5X",19917,"United Parcel Service",11638,"FAT","Fresno, CA","CA",14691,"SBD","San Bernardino, CA","CA",11,
0.00,1860.00,"5X",19917,"United Parcel Service",11638,"FAT","Fresno, CA","CA",14730,"SDF","Louisville, KY","KY",11,
0.00,191.00,"5X",19917,"United Parcel Service",12266,"IAH","Houston, TX","TX",14683,"SAT","San Antonio, TX","TX",11,
0.00,1334.00,"5X",19917,"United Parcel Service",12266,"IAH","Houston, TX","TX",13891,"ONT","Ontario, CA","CA",11,
0.00,468.00,"5X",19917,"United Parcel Service",12266,"IAH","Houston, TX","TX",13244,"MEM","Memphis, TN","TN",11,
0.00,224.00,"5X",19917,"United Parcel Service",12266,"IAH","Houston, TX","TX",11298,"DFW","Dallas/Fort Worth, TX","TX",11,
0.00,192.00,"5X",19917,"United Parcel Service",12266,"IAH","Houston, TX","TX",14814,"SHV","Shreveport, LA","LA",11,
0.00,788.00,"5X",19917,"United Parcel Service",12266,"IAH","Houston, TX","TX",14730,"SDF","Louisville, KY","KY",11,
0.00,916.00,"5X",19917,"United Parcel Service",12266,"IAH","Houston, TX","TX",12055,"GYY","Gary, IN","IN",11,
0.00,511.00,"5X",19917,"United Parcel Service",12448,"JAN","Jackson/Vicksburg, MS","MS",12451,"JAX","Jacksonville, FL","FL",11,
0.00,188.00,"5X",19917,"United Parcel Service",12448,"JAN","Jackson/Vicksburg, MS","MS",13244,"MEM","Memphis, TN","TN",11,
0.00,978.00,"5X",19917,"United Parcel Service",12448,"JAN","Jackson/Vicksburg, MS","MS",14100,"PHL","Philadelphia, PA","PA",11,
0.00,160.00,"5X",19917,"United Parcel Service",12448,"JAN","Jackson/Vicksburg, MS","MS",13495,"MSY","New Orleans, LA","LA",11,
0.00,473.00,"5X",19917,"United Parcel Service",12448,"JAN","Jackson/Vicksburg, MS","MS",14730,"SDF","Louisville, KY","KY",11,
