"PASSENGERS","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","MONTH",
0.00,196.00,"YR",20424,"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",13502,"MTJ","Montrose/Delta, CO","CO",11292,"DEN","Denver, CO","CO",10,
0.00,196.00,"YR",20424,"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",11292,"DEN","Denver, CO","CO",13502,"MTJ","Montrose/Delta, CO","CO",10,
0.00,0.00,"YR",20424,"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",11292,"DEN","Denver, CO","CO",11292,"DEN","Denver, CO","CO",10,
0.00,230.00,"YR",20424,"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",11292,"DEN","Denver, CO","CO",11122,"CPR","Casper, WY","WY",10,
0.00,230.00,"YR",20424,"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",11122,"CPR","Casper, WY","WY",11292,"DEN","Denver, CO","CO",10,
0.00,78.00,"YR",20424,"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",14081,"PGA","Page, AZ","AZ",11869,"GCN","Grand Canyon, AZ","AZ",10,
0.00,95.00,"YR",20424,"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",10661,"BLD","Boulder City, NV","NV",14091,"PGS","Peach Springs, AZ","AZ",10,
0.00,68.00,"YR",20424,"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",11869,"GCN","Grand Canyon, AZ","AZ",14091,"PGS","Peach Springs, AZ","AZ",10,
0.00,75.00,"27Q",21652,"Jet Aviation Flight Services, Inc.",11728,"FOK","Westhampton, NY","NY",15167,"TEB","Teterboro, NJ","NJ",10,
0.00,9.00,"27Q",21652,"Jet Aviation Flight Services, Inc.",11728,"FOK","Westhampton, NY","NY",16815,"N4Y","Southampton, NY","NY",10,
