"PASSENGERS","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","MONTH",
0.00,21.00,"B6",20409,"JetBlue Airways",12478,"JFK","New York, NY","NY",11618,"EWR","Newark, NJ","NJ",9,
0.00,62.00,"1SQ",21570,"Star Marianas Air Inc.",14582,"ROP","Rota, TT","TT",15215,"TIQ","Tinian, TT","TT",9,
0.00,73.00,"1SQ",21570,"Star Marianas Air Inc.",14582,"ROP","Rota, TT","TT",14955,"SPN","Saipan, TT","TT",9,
0.00,56.00,"1SQ",21570,"Star Marianas Air Inc.",14582,"ROP","Rota, TT","TT",12016,"GUM","Guam, TT","TT",9,
0.00,56.00,"1SQ",21570,"Star Marianas Air Inc.",12016,"GUM","Guam, TT","TT",14582,"ROP","Rota, TT","TT",9,
0.00,129.00,"1SQ",21570,"Star Marianas Air Inc.",12016,"GUM","Guam, TT","TT",14955,"SPN","Saipan, TT","TT",9,
0.00,73.00,"1SQ",21570,"Star Marianas Air Inc.",14955,"SPN","Saipan, TT","TT",14582,"ROP","Rota, TT","TT",9,
0.00,129.00,"1SQ",21570,"Star Marianas Air Inc.",14955,"SPN","Saipan, TT","TT",12016,"GUM","Guam, TT","TT",9,
0.00,909.00,"AS",19930,"Alaska Airlines Inc.",14747,"SEA","Seattle, WA","WA",12523,"JNU","Juneau, AK","AK",9,
0.00,861.00,"AS",19930,"Alaska Airlines Inc.",14747,"SEA","Seattle, WA","WA",14828,"SIT","Sitka, AK","AK",9,
0.00,1448.00,"AS",19930,"Alaska Airlines Inc.",14747,"SEA","Seattle, WA","WA",10299,"ANC","Anchorage, AK","AK",9,
0.00,680.00,"AS",19930,"Alaska Airlines Inc.",14747,"SEA","Seattle, WA","WA",12819,"KTN","Ketchikan, AK","AK",9,
